contract_address,chain,current_reason,detection_method,deployer_address,is_contract,is_verified,contract_name,implementation_name,public_tags,private_tags,token_name,token_symbol,token_type,holders_count,market_cap_usd,coingecko_url,deployer_public_tags,deployer_private_tags,preliminary_verdict,deployer_confirmed_count,has_bytecode_cache,bytecode_flags,drain_count,drain_tx_count,drain_ratio,reason_class,deployer_oli_tag_count,phase_b_verdict,frameworks_matched,source_chars,deployer_other_fp_count,tx_count_phasec,distinct_interactors_phasec,revert_rate_phasec,phase_c_verdict,phase_c_rationale
0xe2f78d6c8c095710df6631f09ebc2f9903fc022f,base,Behavioral confirmation: bot 0x22e0adc1b4e680bb4483ae32ba3f45d2f9bad67c trapped in tx 13388fbf50195fba52349aa2bfba7c53a0,bytecode_pattern,0x0d8449e0786761720ee158d3558d64253e2ccbf4,True,True,ExecutionEngine,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-AccessControl|OpenZeppelin-ERC20,83663,0,778,3,0.090,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-AccessControl, OpenZeppelin-ERC20"
0x9a1dcc11870ff45382e5fe422cf393fa81345dec,base,Behavioral confirmation: bot 0xedae94a822582324f19c89a057d694d833e6a6f0 trapped in tx 4ba104290fcf2c06c126098f7667324f01,bytecode_pattern,0x59d0461ec7c4688dd3daab7ea903d93d109db9e0,True,True,PMFI Arb,,,,PMFI Arb,pARB,ERC-20,3,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,STILL_NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-ERC20|OpenZeppelin-Ownable,221654,0,4465,3,0.010,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-ERC20, OpenZeppelin-Ownable"
0x38c4e93bac87b2fb96931dab876bb683d388f1a8,base,Behavioral confirmation: bot 0x481a2a7b8b4c2166a98e2fc26810c0f4681e3913 trapped in tx 685176e45f72dd040662181165a1203251,bytecode_pattern,0x4a481b0486c00e013122e8bbf05f8c0220e26e85,True,True,PerpetualManagerProxy,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,OpenZeppelin|OpenZeppelin-Ownable,129900,0,2351,7,0.003,LIKELY_FP_FROM_SOURCE,"verified source matches: OpenZeppelin, OpenZeppelin-Ownable"
0x02ce32d9b203b51e7bc3daac5c3c433ac2b8adb3,base,Behavioral confirmation: bot 0x8ccd68317e0b49bef7210eea6c8e94498767e040 trapped in tx 99323ed4fd7594e0d575e1f2a3b7270100,deployer_history,0xd731812cbd52dd726a6f46a804642c84c7846663,True,True,BitcoinVerifier,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-AccessControl|OpenZeppelin-ERC20,95132,0,4003,2,0.005,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-AccessControl, OpenZeppelin-ERC20"
0x9b829f7e376077fe19aff29a6971551a487f871d,arbitrum,Behavioral confirmation: bot 0x6fd96f1a38989407577e2eb2633af6d2e64d72ca trapped in tx 3e971b62a0ea0f0966a9413e266c608254,deployer_history,0x65a66494df4673235d2621a79bd5b1bfd9da3ac1,True,False,Cryptodeer Vault,,,,Cryptodeer Vault,deerUSDC,ERC-20,1,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,4,2,0.250,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 2 interactors, 4 txs — consistent with narrow honeypot"
0xc16b1a753308bf909eddcec07bdeded155b0aba7,base,Behavioral confirmation: bot 0xa57accc582abbf98cbdb223f2f1fdb3d1451b404 trapped in tx 3d67c65756f66275402cb6e2d398efa50b,bytecode_pattern,0x444e654d4053c939951528f2a746eb0a1ef76a5a,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,31,2,0.032,STILL_AMBIGUOUS,"interactors=2, tx=31, revert=3.2%, source_chars=0, verified=False"
0x976e9f6bc5a21075486356bb3b6889e674fda07d,base,Behavioral confirmation: bot 0x0a33b632dfc72f7bfd0a688b6c649d285e22890a trapped in tx eb69eeb18361e80d2d01b9c9ead91f7b46,deployer_history,0x18189287bfbdf3bf5c6dc33052b764893c59c7cc,True,True,Ash20Staking,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-ERC20|OpenZeppelin-Ownable,36890,0,22,10,0.045,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-ERC20, OpenZeppelin-Ownable"
0xcdc6de562f9c9afb952b7eed123e0f7e6087029a,base,Behavioral confirmation: bot 0xfb438f6e125b98b7828a6af6525907e8d857de7e trapped in tx 548fa4b75965969f27f37b3c99af648f69,bytecode_pattern,0xa3099587930a877e75ff4084c7b22505b72c2eca,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,116385,11,0.337,STILL_AMBIGUOUS,"interactors=11, tx=116385, revert=33.7%, source_chars=0, verified=False"
0xcdfcbb468ba18dc6a7f46b9bf0ac9f7cdd8c8af2,base,Behavioral confirmation: bot 0xa57accc582abbf98cbdb223f2f1fdb3d1451b404 trapped in tx 40dd260f15960ef1e989aafe6bd4201932,bytecode_pattern,0x6c688b9107c539a448037e42fa0e47dbe31fa46e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,3,2,0.333,LIKELY_TP_FROM_LOW_ACTIVITY,"sparse activity: 2 interactors, 3 txs — consistent with narrow honeypot"
0x1fec8cc3c7e3c3b97a4e383606ecc797291bb3bc,arbitrum,Behavioral confirmation: bot 0xc6d36117cf4ec5b65e0b5f6702bd7f43acda03f5 trapped in tx a6c045b14337d38b2f8d3bd3a7d536351e,bytecode_pattern,0xa5d55db6adb1bfa7462e136c302dc793bdb9d934,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,5539,3,0.999,STILL_AMBIGUOUS,"interactors=3, tx=5539, revert=99.9%, source_chars=0, verified=False"
