contract_address,chain,current_reason,detection_method,deployer_address,is_contract,is_verified,contract_name,implementation_name,public_tags,private_tags,token_name,token_symbol,token_type,holders_count,market_cap_usd,coingecko_url,deployer_public_tags,deployer_private_tags,preliminary_verdict,deployer_confirmed_count,has_bytecode_cache,bytecode_flags,drain_count,drain_tx_count,drain_ratio,reason_class,deployer_oli_tag_count,phase_b_verdict
0xcf9dda0e77276ac5a4df307ee6b55b20230e69bd,base,Behavioral confirmation: bot 0xc0ffee648f2b70238b827cdd9c3f2c91170ee3b1 trapped in tx 9e6af34219634516ad3974006527dc5491,bytecode_pattern,0xc0ffeefeed8b9d271445cf5d1d24d74d2ca4235e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,203,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0xec5b5e3a16adde57e3dad4b124b747707361c4fd,base,Behavioral confirmation: bot 0xc0ffeefb65a5e4b71617cac89582f2be82a4e266 trapped in tx 5374ffc7f9dfdf0a212d309284fda2f61e,bytecode_pattern,0x604be06b9f6b6663f78e755db0c5965eb2337e3d,True,False,,,,,,,,,,,,,NEEDS_REVIEW,194,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0x2ad061258bfd14ef51d92f91a31c2d22796f4c28,base,Behavioral confirmation: bot 0x3dec74b95588836cee5fbae14a5690327a37c651 trapped in tx 7b79ee9654c6c946b41a943b8b4f9ccbb0,bytecode_pattern,0xefef185e2c89bbede21a1c41427bdf1332eca392,True,False,,,,,,,,,,,,,NEEDS_REVIEW,11,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0x37dd336ce100f11d7207664d5c528417b47fcbca,base,Behavioral confirmation: bot 0xc0ffee300d8e9d44619a2719777ff8b7e9d6deba trapped in tx 9eb102b5d48386c3664ae82214c8497a7a,bytecode_pattern,0xc0ffeefeed8b9d271445cf5d1d24d74d2ca4235e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,203,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0x13e3baa5cc29bb440cf1df7571c85efd7f56d212,base,Behavioral confirmation: bot 0x0c12d751b58345a346eb1d9862c084dc4190472e trapped in tx 3525759802768fa989eb95f7a192a07d58,deployer_history,0xb2d120663815c9697176588b70bc534a6a79cf4e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW
0xb2c40bb72a8f4857b7cd8275570e6f0703a5e98c,base,Behavioral confirmation: bot 0xc0ffee445a22e6228cfb77ec0483c426fc856161 trapped in tx 48b047caa0abc4c891e7909a1537ab0d24,bytecode_pattern,0x604be06b9f6b6663f78e755db0c5965eb2337e3d,True,False,,,,,,,,,,,,,NEEDS_REVIEW,194,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0xf6b0d1c422ac542cda270328bcd8662a1ee921cb,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 374 times (371 rev,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0x91978484265d11c5ec58dd53f4ed29ad205b7703,base,BACKFILL: Self-loop detected. Deployer 0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3 called own contract 5 times (5 reverte,deployer_history,0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,True,False,,,,,,,,,,,,,NEEDS_REVIEW,28,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
0xaea35da368456e96ea7bc83713538ad9c1247c0b,base,Behavioral confirmation: bot 0xc119931019304f3fd3008970be3c35ac6be18fda trapped in tx 24fa86816ba2241d497b896de53353de30,bytecode_pattern,0xb723fa2c04ecb71515a71e2cb7268c58d25e1715,True,True,LimitlessDataStreamsOracleV2,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW
0xb4ef350088048d0dd06e6e77440cac50b3b01898,base,BACKFILL: Self-loop detected. Deployer 0xe2a6ac0943b73c6ebf0b8710b19199f232bf9f1f called own contract 5 times (4 reverte,bytecode_pattern,0xe2a6ac0943b73c6ebf0b8710b19199f232bf9f1f,True,False,,,,,,,,,,,,,NEEDS_REVIEW,4,False,,0,0,,backfill,0,LIKELY_TP_RECIDIVIST
